Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,dealcheck.io,bricked.ai,housecanary.com,dealcheck.io (pages),bricked.ai (pages),housecanary.com (pages),Results
what is a cap rate,,110000,52,0.13,0.27,0,0,31,,,https://www.housecanary.com/blog/cap-rate,129
how much is my house worth,,18100,70,3.01,0.65,0,0,53,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,83
what is my house worth,,9900,82,2.88,0.61,0,0,53,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,135
arv,Informational,8100,42,0.47,0.03,0,0,44,,,https://www.housecanary.com/blog/arv,119
home value,Informational,8100,83,2.31,0.48,0,0,16,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,132
what's the value of my house,Informational,8100,69,2.72,0.09,0,0,44,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,137
is the housing market going to crash,Informational,6600,35,1.30,0.01,0,0,22,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,121
property value,Informational,6600,78,2.33,0.38,0,0,40,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,130
what is the value of my home,Informational,6600,68,2.88,0.61,0,0,34,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,135
cap rate california,Informational,5400,12,0.81,0.10,0,0,40,,,https://www.housecanary.com/blog/cap-rate,131
florida housing market,Informational,5400,56,1.67,0.12,0,0,27,,,https://www.housecanary.com/blog/florida-housing-market,126
home valuation,Informational,5400,83,2.31,0.48,0,0,24,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,131
property market in florida,Informational,5400,55,1.74,0.26,0,0,20,,,https://www.housecanary.com/blog/florida-housing-market,132
what is cap rate,,5400,45,0.13,0.27,0,0,37,,,https://www.housecanary.com/blog/cap-rate,127
cap rate formula,Informational,4400,41,0.19,0.17,0,0,29,,,https://www.housecanary.com/blog/cap-rate,131
house value,Informational,4400,80,2.28,0.54,0,0,39,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,142
housing market predictions,,4400,64,2.72,0.20,0,0,20,,,https://www.housecanary.com/blog/housing-market-predictions,137
mls real estate api tools niche saas opportunity,Informational,4400,13,0.00,0.00,0,0,3,,,https://www.housecanary.com/blog/real-estate-api,92
my home value,Informational,4400,82,2.89,0.68,0,0,39,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,132
what is cap rate in real estate,,4400,29,0.16,0.40,0,0,47,,,https://www.housecanary.com/blog/cap-rate,132
cap rate definition,Informational,3600,50,0.12,0.34,0,0,48,,,https://www.housecanary.com/blog/cap-rate,137
cap rate meaning,Informational,3600,47,0.12,0.34,0,0,50,,,https://www.housecanary.com/blog/cap-rate,133
comparative market analysis,Informational,3600,43,3.83,0.52,0,0,13,,,https://www.housecanary.com/blog/comparative-market-analysis-tool,129
estimate the value of a home,Informational,3600,81,2.41,0.65,0,0,68,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,133
how to calculate cap rate,,3600,40,0.25,0.25,0,0,27,,,https://www.housecanary.com/blog/cap-rate,132
value of my home,Informational,3600,82,3.44,0.68,0,0,34,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,139
what's my home worth,Informational,3600,81,3.25,0.62,0,0,60,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,134
will the housing market crash,Informational,3600,34,2.60,0.01,0,0,22,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,121
does a view increase house price,Informational,2900,8,0.00,0.00,0,0,35,,,https://www.housecanary.com/blog/top-5-hidden-factors-influence-home-value,140
florida real estate market,Informational,2900,50,1.67,0.12,0,0,14,,,https://www.housecanary.com/blog/florida-housing-market,133
housecanary,"Navigational, Transactional",2900,34,10.04,0.48,0,0,1,,,https://www.housecanary.com/,99
value of my house,Informational,2900,68,2.89,0.69,0,0,57,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,137
when will the housing market crash,Informational,2900,26,2.16,0.01,0,0,44,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,130
when will the housing market crash again,Informational,2900,29,1.72,0.02,0,0,37,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,131
ai and real estate,Informational,2400,70,5.48,0.40,0,0,44,,,https://www.housecanary.com/blog/ai-in-real-estate,116
ai automated valuation model avm real estate 2026,Informational,2400,25,0.00,0.00,0,0,1,,,https://www.housecanary.com/blog/automated-valuation-model,109
arv meaning,Informational,2400,27,0.29,0.04,0,0,9,,,https://www.housecanary.com/blog/arv,134
automated valuation model,Informational,2400,41,6.69,0.04,0,0,22,,,https://www.housecanary.com/blog/automated-valuation-model,136
comparative market analysis tool,"Commercial, Informational",2400,22,5.27,0.60,0,0,6,,,https://www.housecanary.com/blog/comparative-market-analysis-tool,123
real estate agent leads,Informational,2400,37,21.69,0.41,0,0,15,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,119
what is the value of my house,Informational,2400,80,2.88,0.61,0,0,48,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,136
what's the value of my home,Informational,2400,80,3.25,0.62,0,0,40,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,133
