Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
housecanary,1,1,2900,34,10.04,https://www.housecanary.com/,2320,26.71,23292.00,0.48,99,"54, 54, 43, 54, 36, 81, 65, 65, 81, 81, 100, 65",2026-09-15,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches","navigational, transactional",Organic
house canary,1,1,1900,31,10.04,https://www.housecanary.com/,1520,17.5,15260.00,0.48,102,"82, 65, 65, 82, 34, 82, 55, 82, 65, 55, 65, 100",2026-09-14,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
house canery,1,1,590,28,10.04,https://www.housecanary.com/,472,5.43,4738.00,0.48,102,"81, 81, 66, 66, 44, 100, 81, 81, 100, 81, 100, 100",2026-09-11,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
ai automated valuation model avm real estate 2026,1,1,2400,25,0.00,https://www.housecanary.com/blog/automated-valuation-model,316,3.63,0.00,0,109,"5, 5, 35, 100, 66",2026-09-16,"Video, People also ask, Related searches, AI overview",informational,Organic
lead generation tools for real estate,1,1,1600,28,12.41,https://www.housecanary.com/blog/best-lead-generation-for-realtors,211,2.42,2618.00,0.13,127,"0, 1, 0, 0, 1, 1, 0, 0, 2, 10, 3, 100",2026-09-01,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
housing canary,1,1,260,29,9.03,https://www.housecanary.com/,208,2.39,1878.00,0.5,0,"0, 0, 11, 0, 0, 0, 0, 0, 100, 0, 0, 13",2026-08-25,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
mls real estate api tools niche saas opportunity,3,3,4400,13,0.00,https://www.housecanary.com/blog/real-estate-api,193,2.22,0.00,0,92,"3, 19, 100, 23",2026-09-19,"Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
florida real estate forecast next 5 years,1,1,880,47,2.44,https://www.housecanary.com/blog/florida-housing-market,116,1.33,283.00,0.06,131,"13, 13, 16, 13, 10, 16, 13, 5, 10, 29, 2, 100",2026-08-30,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
housecanary,10,10,2900,34,10.04,https://www.housecanary.com/,92,1.05,923.00,0.48,99,"54, 54, 43, 54, 36, 81, 65, 65, 81, 81, 100, 65",2026-09-15,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches","navigational, transactional",Knowledge panel
real estate investment software,3,3,1900,39,12.96,https://www.housecanary.com/blog/real-estate-investment-software,83,0.95,1075.00,0.04,98,"29, 35, 100, 44, 13, 24, 29, 24, 44, 29, 29, 29",2026-09-18,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
ai tools for real estate investors property screening,1,1,880,19,0.00,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-investors,72,0.82,0.00,0,122,"2, 25, 100",2026-09-07,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
house canary valuation,1,1,90,21,14.80,https://www.housecanary.com/,72,0.82,1065.00,0.59,0,"33, 33, 14, 19, 66, 52, 42, 100, 33, 66, 66, 23",2026-08-29,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",navigational,Organic
best real estate api,2,2,880,18,3.26,https://www.housecanary.com/blog/real-estate-api,72,0.82,234.00,0.33,129,"1, 2, 3, 1, 0, 0, 1, 1, 1, 0, 3, 100",2026-08-02,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",commercial,Organic
what is arv in real estate,1,1,1900,24,0.23,https://www.housecanary.com/blog/arv,65,0.74,14.00,0.08,136,"55, 55, 55, 55, 55, 65, 55, 65, 65, 65, 100, 100",2026-09-06,"Video, People also ask, Related searches, Short videos, AI overview",informational,AI overview
who is the ceo of apiproperty.co.za,1,1,1900,17,0.00,https://www.housecanary.com/blog/real-estate-api,61,0.7,0.00,0,164,"0, 100, 36",2026-09-13,"Reviews, Video, People also ask, AI overview",informational,People also ask
house canary,10,10,1900,31,10.04,https://www.housecanary.com/,60,0.69,602.00,0.48,102,"82, 65, 65, 82, 34, 82, 55, 82, 65, 55, 65, 100",2026-09-14,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Knowledge panel
home canary,1,1,70,17,13.77,https://www.housecanary.com/,56,0.64,771.00,0.66,170,"6, 15, 12, 12, 6, 9, 100, 43, 34, 15, 6, 6",2026-09-05,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
real estate lead generation systems,3,3,1600,35,23.58,https://www.housecanary.com/blog/best-lead-generation-for-realtors,56,0.64,1320.00,0.07,123,"1, 1, 2, 1, 1, 2, 2, 1, 3, 13, 19, 100",2026-08-02,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
housecanary ai,1,1,70,19,12.77,https://www.housecanary.com/,56,0.64,715.00,0.66,103,"9, 9, 9, 9, 52, 9, 9, 9, 80, 52, 52, 80",2026-08-07,"Sitelinks, Reviews, Video, Ads top, Video Carousel, People also ask, Related searches, Short videos",navigational,Organic
house canary ai,1,1,70,16,12.77,https://www.housecanary.com/,56,0.64,715.00,0.66,103,"9, 9, 9, 9, 52, 9, 9, 9, 80, 80, 52, 66",2026-08-07,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches","informational, navigational",Organic
arv meaning,9,9,2400,27,0.29,https://www.housecanary.com/blog/arv,45,0.51,13.00,0.04,134,"35, 35, 44, 100, 44, 35, 44, 44, 44, 44, 44, 44",2026-09-15,"Video, People also ask, Related searches, AI overview",informational,Organic
housing market indicators api,4,3,1000,31,0.00,https://www.housecanary.com/blog/real-estate-api,44,0.5,0.00,0,87,"13, 100, 20, 16",2026-09-22,"Video, Related searches, AI overview",informational,Organic
comehome,1,0,1900,38,5.12,https://www.housecanary.com/solutions/comehome,42,0.48,215.00,0.01,0,"24, 10, 8, 44, 13, 7, 3, 4, 2, 2, 3, 7",2026-09-21,"Sitelinks, Reviews, Video, Related searches, AI overview",navigational,AI overview
canaryhouse,1,1,50,31,4.84,https://www.housecanary.com/,40,0.46,193.00,0.04,40900,"63, 36, 63, 63, 63, 45, 45, 63, 63, 0, 45, 36",2026-08-02,"Knowledge panel, Reviews, Video, People also ask, Related searches",navigational,Organic
property seller leads,3,3,1600,29,0.00,https://www.housecanary.com/blog/best-lead-generation-for-realtors,35,0.4,0.00,0.33,122,"0, 8, 0, 0, 0, 0, 0, 0, 2, 13, 19, 100",2026-08-27,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
google real estate listings,1,1,260,47,1.62,https://www.housecanary.com/google,34,0.39,55.00,0.16,119,"2, 1, 1, 1, 1, 100, 13, 5, 5, 4, 24, 30",2026-09-16,"Video, People also ask, Related searches, AI overview","commercial, informational",Organic
comehome,2,2,1900,38,5.12,https://www.housecanary.com/solutions/comehome,34,0.39,174.00,0.01,0,"24, 10, 8, 44, 13, 7, 3, 4, 2, 2, 3, 7",2026-09-21,"Sitelinks, Reviews, Video, Related searches, AI overview",navigational,Organic
what is a cap rate,31,31,110000,52,0.13,https://www.housecanary.com/blog/cap-rate,33,0.37,4.00,0.27,129,"1, 0, 11, 2, 6, 20, 36, 100, 54, 66, 54, 0",2026-09-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",,Organic
housecanary pricing,1,1,40,27,15.30,https://www.housecanary.com/pricing,32,0.36,489.00,0.66,99,"7, 7, 7, 53, 65, 7, 7, 7, 7, 7, 7, 7",2026-09-05,"Reviews, Video, People also ask, Related searches, AI overview","navigational, transactional",Organic
housecanary avm,1,1,40,26,15.38,https://www.housecanary.com/resources/our-avm,32,0.36,492.00,0.48,103,"11, 11, 11, 64, 100, 11, 11, 11, 11, 11, 11, 11",2026-09-05,"Reviews, Video, People also ask, Related searches, AI overview","informational, navigational",Organic
real estate asset management,5,5,1300,30,6.33,https://www.housecanary.com/blog/real-estate-asset-management,31,0.35,196.00,0.31,129,"100, 84, 84, 68, 68, 68, 68, 84, 68, 46, 37, 31",2026-08-29,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
real estate data api,4,4,480,30,6.00,https://www.housecanary.com/blog/real-estate-api,31,0.35,186.00,0.35,129,"66, 100, 100, 100, 100, 100, 81, 100, 100, 81, 100, 100",2026-08-26,"Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
comparative market analysis tool,6,6,2400,22,5.27,https://www.housecanary.com/blog/comparative-market-analysis-tool,31,0.35,163.00,0.6,123,"80, 80, 66, 66, 80, 66, 66, 52, 52, 52, 52, 27",2026-09-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
florida real estate forecast next 5 years,1,1,880,47,2.44,https://www.housecanary.com/blog/florida-housing-market,30,0.34,73.00,0.06,131,"13, 13, 16, 13, 10, 16, 13, 5, 10, 29, 2, 100",2026-08-30,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
property data api,3,3,320,19,7.09,https://www.housecanary.com/blog/real-estate-api,26,0.29,184.00,0.5,128,"8, 24, 30, 30, 30, 45, 20, 24, 24, 30, 30, 24",2026-08-08,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
non disclosure states,1,1,320,5,1.11,https://www.housecanary.com/blog/non-disclosure-states,26,0.29,28.00,0.04,134,"48, 39, 39, 32, 39, 21, 21, 26, 21, 26, 26, 21",2026-08-23,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
lead generation tools for realtors,4,4,590,26,0.00,https://www.housecanary.com/blog/best-lead-generation-for-realtors,25,0.28,0.00,0.33,143,"0, 0, 0, 0, 1, 1, 0, 0, 1, 29, 13, 100",2026-08-09,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
real estate investment management software,9,9,1300,28,27.93,https://www.housecanary.com/blog/real-estate-investment-software,24,0.27,670.00,0.08,108,"37, 46, 52, 52, 46, 46, 68, 100, 84, 84, 84, 68",2026-08-23,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
house canary pricing,1,1,30,25,15.30,https://www.housecanary.com/pricing,24,0.27,367.00,0.63,103,"40, 60, 40, 40, 80, 100, 40, 40, 40, 40, 40, 80",2026-09-01,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
home value,16,16,8100,83,2.31,https://www.housecanary.com/blog/what-is-the-value-of-my-home,24,0.27,55.00,0.48,132,"54, 54, 54, 54, 44, 36, 36, 36, 44, 44, 44, 54",2026-09-16,"Video, People also ask, Related searches, AI overview",informational,Organic
what does arv mean in real estate,1,1,720,27,0.12,https://www.housecanary.com/blog/arv,24,0.27,2.00,0.08,135,"59, 59, 59, 48, 72, 88, 72, 59, 88, 100, 100, 100",2026-09-07,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
ai for real estate agents,7,7,880,51,8.46,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,21,0.24,177.00,0.35,111,"55, 67, 67, 76, 76, 67, 76, 76, 100, 76, 67, 36",2026-09-12,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
comehome,1,0,1900,38,5.12,https://www.housecanary.com/blog/housecanary-invites-mortgage-lenders-to-comehome,21,0.24,107.00,0.01,0,"24, 10, 8, 44, 13, 7, 3, 4, 2, 2, 3, 7",2026-09-21,"Sitelinks, Reviews, Video, Related searches, AI overview",navigational,AI overview
canary ai,3,3,320,44,9.92,https://www.housecanary.com/products/canary-ai,20,0.23,198.00,0.11,125,"54, 66, 54, 54, 66, 66, 54, 66, 81, 81, 100, 81",2026-08-07,"Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
real estate analytics platform,2,2,320,25,0.00,https://www.housecanary.com/,20,0.23,0.00,0.01,125,"1, 16, 6, 1, 6, 16, 1, 30, 30, 100, 16, 8",2026-08-04,"Video, Video Carousel, Related searches, AI overview",informational,Organic
non disclosure states,1,1,320,5,1.11,https://www.housecanary.com/blog/non-disclosure-states,19,0.21,21.00,0.04,134,"48, 39, 39, 32, 39, 21, 21, 26, 21, 26, 26, 21",2026-08-23,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,AI overview
real estate lead generation software,7,7,880,56,15.49,https://www.housecanary.com/blog/best-lead-generation-for-realtors,19,0.21,294.00,0.18,125,"45, 67, 76, 67, 55, 55, 55, 100, 55, 67, 45, 45",2026-09-08,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
florida real estate market predictions,1,1,140,34,0.00,https://www.housecanary.com/blog/housing-market-predictions,18,0.2,0.00,0.03,118,"53, 53, 53, 43, 23, 66, 28, 28, 28, 17, 17, 7",2026-08-11,"Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
